Title,Link,Snippet,Summary,Info,Processed,Query
La cadena de suministro del mezcal del estado de Zacatecas: Situación actual y perspectivas de desarrollo,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422014000200010,… El mezcal es una bebida alcohólica hecha de la planta de … y mezcal en el país  de ahí que la industria del agave-mezcal sea … de suministro del agave-mezcal del estado de Zacatecas. …,"G López Nava, JL Martínez Flores… - Contaduría y …, 2014 – scielo.org.mx","{'summary': 'G López Nava, JL Martínez Flores… - Contaduría y …, 2014 - scielo.org.mx'}",2022-03-17 09:53:21 UTC,mezcal desarrollo
La cadena de suministro del mezcal del estado de Zacatecas Situación actual y perspectivas de desarrollo,https://www.sciencedirect.com/science/article/pii/S0186104214712616,… El mezcal es una bebida alcohólica hecha de la planta de … y mezcal en el país  de ahí que la industria del agave-mezcal sea … de suministro del agave-mezcal del estado de Zacatecas. … ,"GL Nava, JLM Flores, JC Arroyo, YM Moreno - Contaduría y Administración, 2014 - Elsevier","{'summary': 'GL Nava, JLM Flores, JC Arroyo, YM Moreno - Contaduría y Administración, 2014 - Elsevier', 'authors': [{'name': 'JC Arroyo', 'link': 'https://scholar.google.com/citations?user=b1dxSYQAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=b1dxSYQAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'b1dxSYQAAAAJ'}, {'name': 'YM Moreno', 'link': 'https://scholar.google.com/citations?user=_iwXdXsAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=_iwXdXsAAAAJ&engine=google_scholar_author&hl=es', 'author_id': '_iwXdXsAAAAJ'}]}",2022-03-17 09:53:21 UTC,mezcal desarrollo
"Producción de maguey y mezcal: estrategias de desarrollo rural en Teúl de González Ortega, Zacatecas",https://www.redalyc.org/pdf/757/75726134001.pdf,"… de la producción de agave y mezcal. La metodología se desarrolló mediante aplicación de … en la industria del mezcal. Así, 85% de los productores de agave y 29% de productores de …","AG Salazar, FJM Rodríguez - Revista de Geografía Agrícola, 2010 - redalyc.org","{'summary': 'AG Salazar, FJM Rodríguez - Revista de Geografía Agrícola, 2010 - redalyc.org'}",2022-03-17 09:53:21 UTC,mezcal desarrollo
"Del whisky escocés al mezcal: diferenciación y etiquetado, desarrollo y conservación",https://www.academia.edu/download/59516698/LarValIll2007.pdf,… of mezcales through informative labeling practices that contribute to distinguish in the market maguey and mezcal production practices that promote the conservation of the mezcal …,"J Larson, AG Valenzuela-Zapata… - … : del Tequila, los Mezcales …, 2007 - academia.edu","{'summary': 'J Larson, AG Valenzuela-Zapata… - … : del Tequila, los Mezcales …, 2007 - academia.edu'}",2022-03-17 09:53:21 UTC,mezcal desarrollo
"Impacto de la producción del mezcal en el desarrollo económico de la región de Ocotepec, Tlacolula, Oaxaca",https://www.ecorfan.org/bolivia/researchjournals/Desarrollo_Economico/vol3num6/Revista_de_Desarrollo_Econ%C3%B3mico_V3_N6.pdf#page=21,"… de mezcal artesanal. El Mezcal es una bebida alcohólica tradicional mexicana, espirituosa, derivada del maguey, legítima de la Denominación de Origen Mezcal Mexicano. Palabra …","E COLMENARES-OLIVERA, I FLORES-OLIVERA… - Desarrollo …, 2016 - ecorfan.org","{'summary': 'E COLMENARES-OLIVERA, I FLORES-OLIVERA… - Desarrollo …, 2016 - ecorfan.org', 'authors': [{'name': 'E COLMENARES-OLIVERA', 'link': 'https://scholar.google.com/citations?user=o9gaoOEAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=o9gaoOEAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'o9gaoOEAAAAJ'}]}",2022-03-17 09:53:21 UTC,mezcal desarrollo
Competitividad y desarrollo local derivados de la industria de la hospitalidad: los casos de la Ruta del Mezcal en el altiplano potosino en México y la Ruta …,https://www.researchgate.net/profile/Pasquale-Cerbone-2/publication/330938491_Competitividad_y_desarrollo_local_derivados_de_la_industria_de_la_hospitalidad_los_casos_de_la_Ruta_del_Mezcal_en_el_altiplano_potosino_en_Mexico_y_la_Ruta_Equinoccial_en_Ecuador/links/5c5cc0b4299bf1d14cb34b1f/Competitividad-y-desarrollo-local-derivados-de-la-industria-de-la-hospitalidad-los-casos-de-la-Ruta-del-Mezcal-en-el-altiplano-potosino-en-Mexico-y-la-Ruta-Equinoccial-en-Ecuador.pdf,… of the Mezcal Route in the Potosí highlands in Mexico and the Equinoctial Route in Ecuador … This article presents a diagnosis of the mezcal route in the Potosí highlands as a tourist …,"A González, JC Ortíz, I Nelson, B Atiencia… - Revista de la Alta …, 2018 - researchgate.net","{'summary': 'A González, JC Ortíz, I Nelson, B Atiencia… - Revista de la Alta …, 2018 - researchgate.net'}",2022-03-17 09:53:21 UTC,mezcal desarrollo
"La disminución de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S2007-09342015000600012&script=sci_abstract&tlng=pt,"… sobre el desarrollo agroindustrial del mezcal en Oaxaca. … del desarrollo de la actividad estatal, de la información oficial, de las políticas de desarrollo de la producción de mezcal y de …","JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx","{'summary': 'JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx'}",2022-03-17 09:53:21 UTC,mezcal desarrollo
Manual para la estandarización de los procesos de producción del mezcal guerrerense,https://ciatej.repositorioinstitucional.mx/jspui/handle/1023/569,"… Debido a un mercado nacional e internacional del mezcal, … de mezcal. Actualmente se considera que el éxito comercial del mezcal de Guerrero, depende no únicamente del desarrollo …","MR Kirchmayr, M Arellano-Plaza… - … AC México. pp, 2014 - ciatej.repositorioinstitucional.mx","{'summary': 'MR Kirchmayr, M Arellano-Plaza… - … AC México. pp, 2014 - ciatej.repositorioinstitucional.mx'}",2022-03-17 09:53:21 UTC,mezcal desarrollo
Estrategias de producción y mercadotecnia del mezcal en Oaxaca,https://www.redalyc.org/pdf/325/32514811.pdf,"… y competitividad territorial son exigencias del modelo de desarrollo vigente, en particular, en la Región del Mezcal , esta tendencia no puede considerarse dominante; sin em- …","JA Bautista, ET Melchor - El Cotidiano, 2008 - redalyc.org","{'summary': 'JA Bautista, ET Melchor - El Cotidiano, 2008 - redalyc.org'}",2022-03-17 09:53:21 UTC,mezcal desarrollo
La industria informal del mezcal bacanora,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-45572009000100006,… El ordenamiento de esta industria plantea la posibilidad de elevarla a un primer plano entre las actividades detonantes de desarrollo regional y como la principal fuente de ingresos de …,"V Salazar Solano, A Mungaray Lagarda - … sociales (Hermosillo, Son.), 2009 - scielo.org.mx","{'summary': 'V Salazar Solano, A Mungaray Lagarda - … sociales (Hermosillo, Son.), 2009 - scielo.org.mx', 'authors': [{'name': 'V Salazar Solano', 'link': 'https://scholar.google.com/citations?user=0r8Dkz4AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=0r8Dkz4AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '0r8Dkz4AAAAJ'}, {'name': 'A Mungaray Lagarda', 'link': 'https://scholar.google.com/citations?user=TnrV2xUAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=TnrV2xUAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'TnrV2xUAAAAJ'}]}",2022-03-17 09:53:21 UTC,mezcal desarrollo
