Title,Link,Snippet,Summary,Info,Processed,Query
Appellation of origin status and economic development: a case study of the Mezcal industry,https://ageconsearch.umn.edu/record/93346/,"… This article documents the evolution of the mezcal industry from the mid 1990s to 2009. … appellation of origin protection. Using the case methodology we focus on the appellation mezcal, …","CO Trejo-Pech, C Lopez-Reyna… - International Food …, 2010 - ageconsearch.umn.edu","{'summary': 'CO Trejo-Pech, C Lopez-Reyna… - International Food …, 2010 - ageconsearch.umn.edu', 'authors': [{'name': 'CO Trejo-Pech', 'link': 'https://scholar.google.com/citations?user=RNe3WWEAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=RNe3WWEAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'RNe3WWEAAAAJ'}]}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
"Quantification of Selected Volatile Constituents and Anions in Mexican Agave Spirits (Tequila, Mezcal, Sotol, Bacanora)",https://pubs.acs.org/doi/abs/10.1021/jf060094h,"… = 95) of Mexican Agave spirits with protected appellations of origin (Tequila, Mezcal, Sotol, and … Mezcal showed no significant differences in any of the evaluated parameters that would …","DW Lachenmeier, EM Sohnius, R Attig… - Journal of Agricultural …, 2006 - ACS Publications","{'summary': 'DW Lachenmeier, EM Sohnius, R Attig… - Journal of Agricultural …, 2006 - ACS Publications', 'authors': [{'name': 'DW Lachenmeier', 'link': 'https://scholar.google.com/citations?user=B1bx9OEAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=B1bx9OEAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'B1bx9OEAAAAJ'}]}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
Sustainability of the traditional management of Agave genetic resources in the elaboration of mezcal and tequila spirits in western Mexico,https://link.springer.com/article/10.1007/s10722-012-9812-z,… “mezcals” in the Appellation of Origin Tequila area. It is also associated with harmful cycles 8–10 years long of surplus-shortfall availability of raw material. Mezcal … We found that mezcal …,"D Zizumbo-Villarreal, O Vargas-Ponce… - Genetic Resources and …, 2013 - Springer","{'summary': 'D Zizumbo-Villarreal, O Vargas-Ponce… - Genetic Resources and …, 2013 - Springer', 'authors': [{'name': 'O Vargas-Ponce', 'link': 'https://scholar.google.com/citations?user=ryvBb78AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=ryvBb78AAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'ryvBb78AAAAJ'}]}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
"Divided spirits: Tequila, mezcal, and the politics of production",https://books.google.com/books?hl=es&lr=&id=_7owDwAAQBAJ&oi=fnd&pg=PR9&dq=mezcal+appellation+of+origin&ots=G18PxaATpL&sig=0K3U6j7Th8ozVlwNCTnlxk7k7GY,"… It also took me to small mezcal distilleries and trendy mezcal and tequila bars from Oaxaca City to New York. In total, I visited more than thirty distilleries—from tiny family mezcal …",S Bowen - 2015 - books.google.com,"{'summary': 'S Bowen - 2015 - books.google.com', 'authors': [{'name': 'S Bowen', 'link': 'https://scholar.google.com/citations?user=P0mLtJgAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=P0mLtJgAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'P0mLtJgAAAAJ'}]}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
"The perils of protection and the promise of authenticity: Tequila, mezcal, and the case of NOM 186",https://www.academia.edu/download/55530594/Gaytan_As_Published.pdf,"… of species are used in the manufacture of mezcal. Soon after their submission, petitions … tequila, mezcal, and the distilled agave industries. Starting with tequila and, then later, mezcal, …","MS Gaytán - Journal of Rural Studies, 2018 - academia.edu","{'summary': 'MS Gaytán - Journal of Rural Studies, 2018 - academia.edu'}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
Genetic variation and relationships among agaves related to the production of Tequila and Mezcal in Jalisco,https://www.sciencedirect.com/science/article/pii/S0926669018307726,"… of mezcal plant germoplasm are the plants, obtained by peasants searching in ravines in their vicinity, that can be transplanted in their plots and be useful for the production of mezcal. …","L Trejo, V Limones, G Peña, E Scheinvar… - Industrial Crops and …, 2018 - Elsevier","{'summary': 'L Trejo, V Limones, G Peña, E Scheinvar… - Industrial Crops and …, 2018 - Elsevier', 'authors': [{'name': 'E Scheinvar', 'link': 'https://scholar.google.com/citations?user=EAjudjwAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=EAjudjwAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'EAjudjwAAAAJ'}]}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
"… NMR metabolomics profiling between Mexican ancestral & artisanal mezcals and industrialized wines to discriminate geographical origins, agave species or grape …",https://www.mdpi.com/959712,"… stills for distillation is prohibited for artisanal mezcal. In Mexico, the appellation d’origine contrôlée (AOC) or controlled designation of origin for mezcals is granted for specific counties in …","R López-Aguilar, H Zuleta-Prada, A Hernández-Montes… - Foods, 2021 - mdpi.com","{'summary': 'R López-Aguilar, H Zuleta-Prada, A Hernández-Montes… - Foods, 2021 - mdpi.com', 'authors': [{'name': 'A Hernández-Montes', 'link': 'https://scholar.google.com/citations?user=h93LjooAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=h93LjooAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'h93LjooAAAAJ'}]}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
Understanding the motives of consumers of mezcal in Mexico,https://www.emerald.com/insight/content/doi/10.1108/BFJ-07-2017-0381/full/html,"… There is ample research on the first one, but there is less research on mezcal, despite it has … affect mezcal consumption. Thus, this paper aims to characterize the consumers of mezcal, …","CA López-Rosas, A Espinoza-Ortega - British Food Journal, 2018 - emerald.com","{'summary': 'CA López-Rosas, A Espinoza-Ortega - British Food Journal, 2018 - emerald.com', 'authors': [{'name': 'A Espinoza-Ortega', 'link': 'https://scholar.google.com/citations?user=zfspw1kAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=zfspw1kAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'zfspw1kAAAAJ'}]}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
Identification and quantification of furanic compounds in tequila and mezcal using spectroscopy and chemometric methods,https://www.scielo.br/pdf/jbchs/v21n6/v21n6a18.pdf,"… furanos em tequilas brancas e mezcales. Além destes resultados, … appellation d’origen contrôlée (AOC), ie, tequila and mezcal … compounds in white tequilas and mezcals. In addition to …","AC Muñoz-Muñoz, JL Pichardo-Molina… - Journal of the Brazilian …, 2010 - SciELO Brasil","{'summary': 'AC Muñoz-Muñoz, JL Pichardo-Molina… - Journal of the Brazilian …, 2010 - SciELO Brasil', 'authors': [{'name': 'JL Pichardo-Molina', 'link': 'https://scholar.google.com/citations?user=nqnZX1YAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=nqnZX1YAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'nqnZX1YAAAAJ'}]}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
The geographical indication of mezcal in Mexico: A tool of exclusion for small producers,https://library.oapen.org/bitstream/handle/20.500.12657/46918/9780429895135.pdf?sequence=1#page=188,… the appellation mezcal de Teozacoalco on their label despite the fact that their products do not originate from this community or communities that are legally allowed to use the mezcal …,"MC Renard, DRD Arista - Geographical Indication and Global Agri …, 2019 - library.oapen.org","{'summary': 'MC Renard, DRD Arista - Geographical Indication and Global Agri …, 2019 - library.oapen.org'}",2022-03-18 01:10:54 UTC,mezcal appellation of origin
