Title,Link,Snippet,Summary,Info,Processed,Query
Compuestos volátiles en el mezcal,https://www.redalyc.org/pdf/620/62060106.pdf,"… importante entre el mezcal y el tequila es su procesamiento, … de Origen para el mezcal están más dispersas en el territorio … de variabilidad en la elaboración de mezcal en cada región. …","JA Molina-Guerrero, JE Botello-Álvarez… - Revista Mexicana de …, 2007 - redalyc.org","{'summary': 'JA Molina-Guerrero, JE Botello-Álvarez… - Revista Mexicana de …, 2007 - redalyc.org', 'authors': [{'name': 'JE Botello-Álvarez', 'link': 'https://scholar.google.com/citations?user=vtzhchIAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=vtzhchIAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'vtzhchIAAAAJ'}]}",2022-03-18 02:45:54 UTC,mezcal
Treatment of mezcal vinasses: A review,https://www.sciencedirect.com/science/article/pii/S0168165611005426,"Mexican distilleries produce near eight million liters of mezcal per year, and generate about 90 million liters of mezcal vinasses (MV). This acidic liquid waste is very aggressive to the …","V Robles-González, J Galíndez-Mayer… - Journal of …, 2012 - Elsevier","{'summary': 'V Robles-González, J Galíndez-Mayer… - Journal of …, 2012 - Elsevier', 'authors': [{'name': 'J Galíndez-Mayer', 'link': 'https://scholar.google.com/citations?user=97oX_7wAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=97oX_7wAAAAJ&engine=google_scholar_author&hl=es', 'author_id': '97oX_7wAAAAJ'}]}",2022-03-18 02:45:54 UTC,mezcal
"La disminución de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S2007-09342015000600012&script=sci_abstract&tlng=pt,"… In this work, craft production of mezcal in the ""region of mezcal"" (RM) of Oaxaca we are analysed, in order to meet the socio-economic and productive effects related to industrialization …","JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx","{'summary': 'JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx'}",2022-03-18 02:45:54 UTC,mezcal
Revisión del agave y el mezcal,https://revistas.unal.edu.co/index.php/biotecnologia/article/view/49552,… productiva agave-mezcal y las … of mezcal from agave in some producers regions of Mexico is carried out  to explain some of the problems faced by the productive chain agave-mezcal …,"MDC Chavez-Parga, EP Hernández… - Revista Colombiana …, 2016 - revistas.unal.edu.co","{'summary': 'MDC Chavez-Parga, EP Hernández… - Revista Colombiana …, 2016 - revistas.unal.edu.co', 'authors': [{'name': 'MDC Chavez-Parga', 'link': 'https://scholar.google.com/citations?user=8JfyZtoAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=8JfyZtoAAAAJ&engine=google_scholar_author&hl=es', 'author_id': '8JfyZtoAAAAJ'}, {'name': 'EP Hernández', 'link': 'https://scholar.google.com/citations?user=CNlrAzIAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=CNlrAzIAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'CNlrAzIAAAAJ'}]}",2022-03-18 02:45:54 UTC,mezcal
"Sustentabilidad y agricultura en la"" región del mezcal"" de Oaxaca",http://www.scielo.org.mx/scielo.php?pid=S2007-09342012000100001&script=sci_arttext,"Este estudio analiza los sistemas agrícolas en laderas y en valles, desarrollados por productores campesinos de agave mezcalero Angustifolia Haw. Se realizó en la ""región del mezcal…","JA Bautista, MA Smit - Revista mexicana de ciencias agrícolas, 2012 - scielo.org.mx","{'summary': 'JA Bautista, MA Smit - Revista mexicana de ciencias agrícolas, 2012 - scielo.org.mx', 'authors': [{'name': 'MA Smit', 'link': 'https://scholar.google.com/citations?user=C7PhklgAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=C7PhklgAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'C7PhklgAAAAJ'}]}",2022-03-18 02:45:54 UTC,mezcal
La industria informal del mezcal bacanora,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-45572009000100006,"… destiladas denominadas genéricamente: mezcal. Los mezcales se … Así como al bacanora en Sonora, al mezcal se le conoce … Sin embargo, la Denominación de Origen Mezcal fue …","V Salazar Solano, A Mungaray Lagarda - … sociales (Hermosillo, Son.), 2009 - scielo.org.mx","{'summary': 'V Salazar Solano, A Mungaray Lagarda - … sociales (Hermosillo, Son.), 2009 - scielo.org.mx', 'authors': [{'name': 'V Salazar Solano', 'link': 'https://scholar.google.com/citations?user=0r8Dkz4AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=0r8Dkz4AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '0r8Dkz4AAAAJ'}, {'name': 'A Mungaray Lagarda', 'link': 'https://scholar.google.com/citations?user=TnrV2xUAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=TnrV2xUAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'TnrV2xUAAAAJ'}]}",2022-03-18 02:45:54 UTC,mezcal
Estrategias de producción y mercadotecnia del mezcal en Oaxaca,https://www.redalyc.org/pdf/325/32514811.pdf,"… de Mezcal (NOM-070), el mezcal es … Mezcal en Oaxaca; en el que se observa la desarticulación de la cadena agroindustrial del mezcal y la concentración de la producción de …","JA Bautista, ET Melchor - El Cotidiano, 2008 - redalyc.org","{'summary': 'JA Bautista, ET Melchor - El Cotidiano, 2008 - redalyc.org'}",2022-03-18 02:45:54 UTC,mezcal
"Agricultura y pluriactividad de los pequeños productores de agave en la región del mezcal, Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S0568-25172008000400007&script=sci_arttext,Este trabajo analiza los sistemas agrícolas en laderas y valles del agave mezcalero Angustifolia Haw (A. Haw) en la región del mezcal de Oaxaca. El objetivo fue identificar el papel de …,"JA Bautista, J Ramírez Juarez - Agricultura técnica en México, 2008 - scielo.org.mx","{'summary': 'JA Bautista, J Ramírez Juarez - Agricultura técnica en México, 2008 - scielo.org.mx'}",2022-03-18 02:45:54 UTC,mezcal
Manual para la estandarización de los procesos de producción del mezcal guerrerense,https://ciatej.repositorioinstitucional.mx/jspui/handle/1023/569,"… del mezcal, generándose mayor competencia en su venta entre los diferentes estados productores de mezcal. Actualmente se considera que el éxito comercial del mezcal de Guerrero, …","MR Kirchmayr, M Arellano-Plaza… - … AC México. pp, 2014 - ciatej.repositorioinstitucional.mx","{'summary': 'MR Kirchmayr, M Arellano-Plaza… - … AC México. pp, 2014 - ciatej.repositorioinstitucional.mx'}",2022-03-18 02:45:54 UTC,mezcal
Análisis de la molienda en el proceso de elaboración de mezcal,https://scielo.conicyt.cl/scielo.php?pid=S0718-07642007000100008&script=sci_arttext&tlng=en,"Se presenta y analiza el proceso de molienda de maguey para elaboración de mezcal, en las fabricas de la zona de San Luis Potosí, México. Las fábricas de mezcal cuentan con un …","H Durán, JL Pulido - Información tecnológica, 2007 - scielo.conicyt.cl","{'summary': 'H Durán, JL Pulido - Información tecnológica, 2007 - scielo.conicyt.cl', 'authors': [{'name': 'H Durán', 'link': 'https://scholar.google.com/citations?user=3WWC2yYAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=3WWC2yYAAAAJ&engine=google_scholar_author&hl=es', 'author_id': '3WWC2yYAAAAJ'}]}",2022-03-18 02:45:54 UTC,mezcal
